epoch_ts,slug,direction,edge,P_model,strike,spot_entry,resolution_price,outcome,pnl_pct
1775762100,btc-updown-5m-1775762100,BUY_YES,0.073075,0.597075,72037.16,72057.25,71983.19,LOSS,-100.0
1775764800,btc-updown-5m-1775764800,BUY_NO,0.066543,0.409457,72114.96,72096.32,72075.11,WIN,100.0
1775765100,btc-updown-5m-1775765100,BUY_NO,0.037780,0.438220,72107.50,72094.86,72045.71,WIN,100.0
1775765700,btc-updown-5m-1775765700,BUY_NO,0.037877,0.438123,72195.46,72182.78,72252.03,LOSS,-100.0
1775766000,btc-updown-5m-1775766000,BUY_NO,0.046434,0.429566,72275.75,72261.28,72287.14,LOSS,-100.0
1775766300,btc-updown-5m-1775766300,BUY_NO,0.074369,0.401631,72339.32,72318.97,72267.22,WIN,100.0
1775767200,btc-updown-5m-1775767200,BUY_NO,0.056676,0.419324,72400.42,72383.78,72422.65,LOSS,-100.0
1775767500,btc-updown-5m-1775767500,BUY_NO,0.052148,0.423852,72433.20,72417.51,72380.86,WIN,100.0
1775767800,btc-updown-5m-1775767800,BUY_NO,0.033144,0.442856,72348.13,72336.41,72351.36,LOSS,-100.0
1775768700,btc-updown-5m-1775768700,BUY_NO,0.063031,0.412969,72475.48,72457.49,72461.54,WIN,100.0
1775769000,btc-updown-5m-1775769000,BUY_NO,0.110226,0.365774,72308.42,72280.40,72330.33,LOSS,-100.0
1775773800,btc-updown-5m-1775773800,BUY_NO,0.053897,0.422103,72641.49,72625.38,72576.97,WIN,100.0
1775774100,btc-updown-5m-1775774100,BUY_NO,0.031785,0.444215,72522.20,72510.73,72384.23,WIN,100.0
1775774400,btc-updown-5m-1775774400,BUY_NO,0.061808,0.414192,72369.06,72351.36,72304.58,WIN,100.0
1775776800,btc-updown-5m-1775776800,BUY_YES,0.060834,0.584834,71828.53,71846.00,71809.56,LOSS,-100.0
1775782800,btc-updown-5m-1775782800,BUY_NO,0.034694,0.441306,71975.01,71963.03,71874.00,WIN,100.0
