epoch_ts,slug,direction,edge,P_model,strike,spot_entry,resolution_price,outcome,pnl_pct
1775762100,btc-updown-5m-1775762100,BUY_YES,0.079075,0.597075,72037.16,72057.25,71983.19,LOSS,-100.0
1775763300,btc-updown-5m-1775763300,BUY_NO,0.031353,0.450647,71864.77,71854.73,71937.84,LOSS,-100.0
1775764500,btc-updown-5m-1775764500,BUY_NO,0.032543,0.449457,72201.63,72191.30,72097.56,WIN,100.0
1775764800,btc-updown-5m-1775764800,BUY_NO,0.072543,0.409457,72114.96,72096.32,72075.11,WIN,100.0
1775765100,btc-updown-5m-1775765100,BUY_NO,0.043780,0.438220,72107.50,72094.86,72045.71,WIN,100.0
1775765400,btc-updown-5m-1775765400,BUY_NO,0.035047,0.446953,72045.23,72034.40,72171.95,LOSS,-100.0
1775765700,btc-updown-5m-1775765700,BUY_NO,0.043877,0.438123,72195.46,72182.78,72252.03,LOSS,-100.0
1775766000,btc-updown-5m-1775766000,BUY_NO,0.052434,0.429566,72275.75,72261.28,72287.14,LOSS,-100.0
1775766300,btc-updown-5m-1775766300,BUY_NO,0.080369,0.401631,72339.32,72318.97,72267.22,WIN,100.0
1775766600,btc-updown-5m-1775766600,BUY_NO,0.029668,0.452332,72307.37,72297.62,72407.87,LOSS,-100.0
1775766900,btc-updown-5m-1775766900,BUY_NO,0.032282,0.449718,72446.63,72436.32,72374.99,WIN,100.0
1775767200,btc-updown-5m-1775767200,BUY_NO,0.062676,0.419324,72400.42,72383.78,72422.65,LOSS,-100.0
1775767500,btc-updown-5m-1775767500,BUY_NO,0.058148,0.423852,72433.20,72417.51,72380.86,WIN,100.0
1775767800,btc-updown-5m-1775767800,BUY_NO,0.039144,0.442856,72348.13,72336.41,72351.36,LOSS,-100.0
1775768700,btc-updown-5m-1775768700,BUY_NO,0.069031,0.412969,72475.48,72457.49,72461.54,WIN,100.0
1775769000,btc-updown-5m-1775769000,BUY_NO,0.116226,0.365774,72308.42,72280.40,72330.33,LOSS,-100.0
1775769600,btc-updown-5m-1775769600,BUY_NO,0.033324,0.448676,72284.36,72273.85,72270.61,WIN,100.0
1775770800,btc-updown-5m-1775770800,BUY_NO,0.022098,0.459902,72219.56,72211.38,72340.35,LOSS,-100.0
1775773500,btc-updown-5m-1775773500,BUY_NO,0.030537,0.451463,72802.00,72792.00,72668.41,WIN,100.0
1775773800,btc-updown-5m-1775773800,BUY_NO,0.059897,0.422103,72641.49,72625.38,72576.97,WIN,100.0
1775774100,btc-updown-5m-1775774100,BUY_NO,0.037785,0.444215,72522.20,72510.73,72384.23,WIN,100.0
1775774400,btc-updown-5m-1775774400,BUY_NO,0.067808,0.414192,72369.06,72351.36,72304.58,WIN,100.0
1775774700,btc-updown-5m-1775774700,BUY_NO,0.022366,0.459634,72325.74,72317.49,72297.61,WIN,100.0
1775775000,btc-updown-5m-1775775000,BUY_NO,0.026655,0.455345,72419.55,72410.40,72199.99,WIN,100.0
1775775300,btc-updown-5m-1775775300,BUY_NO,0.029060,0.452940,72217.10,72207.48,72029.89,WIN,100.0
1775775600,btc-updown-5m-1775775600,BUY_NO,0.020607,0.461393,71953.86,71946.01,71871.45,WIN,100.0
1775775900,btc-updown-5m-1775775900,BUY_NO,0.027780,0.454220,71891.11,71881.80,72000.14,LOSS,-100.0
1775776200,btc-updown-5m-1775776200,BUY_NO,0.020268,0.461732,71950.23,71942.45,71782.01,WIN,100.0
1775776800,btc-updown-5m-1775776800,BUY_YES,0.066834,0.584834,71828.53,71846.00,71809.56,LOSS,-100.0
1775778000,btc-updown-5m-1775778000,BUY_YES,0.020749,0.538749,71826.47,71834.42,71813.16,LOSS,-100.0
1775782800,btc-updown-5m-1775782800,BUY_NO,0.040694,0.441306,71975.01,71963.03,71874.00,WIN,100.0
1775783100,btc-updown-5m-1775783100,BUY_YES,0.025005,0.543005,71863.13,71871.96,71916.00,WIN,100.0
