z_bucket,session,N_Independent_Events,Win_Rate_Theoretical,Avg_Profit_Executable,Ghost_Threshold
7.0,EU,6,0.6666666666666666,0.21666666666666667,0.0
-5.0,EU,7,0.42857142857142855,-0.15571428571428572,0.0
5.0,Asia,5,0.8,0.129,0.0
-7.0,US,3,0.3333333333333333,-0.15,0.0
-5.0,US,6,0.3333333333333333,-0.16666666666666666,0.0
5.0,EU,6,0.6666666666666666,0.05666666666666667,0.0
-6.0,EU,5,0.0,-0.322,0.0
-7.0,EU,4,0.25,-0.21250000000000002,0.0
-6.0,US,6,0.16666666666666666,-0.25166666666666665,0.0
-6.0,Asia,6,0.16666666666666666,-0.20166666666666666,0.0
6.0,Asia,4,0.75,0.1525,0.0
6.0,EU,4,1.0,0.1925,0.0
7.0,Asia,6,1.0,0.31666666666666665,0.0
6.0,US,9,0.6666666666666666,0.12677777777777777,0.0
-5.0,Asia,4,0.25,-0.19,0.0
-7.0,Asia,2,0.0,-0.55,0.0
7.0,US,7,1.0,0.22442857142857145,0.0
5.0,US,5,0.6,0.246,0.0
